1	Лягушкопад	1	1	16	50	100	0	1	Вместо обычного дождя на gorodname сотнями сыпятся лягушки! Некоторых из них ядовитые, а некоторые - галлюциногенные.
2	Атака лютокроля	1	2	18	50	100	0	1	Ужасный лютокроль буйствует в gorodname - жрет капусту, пугает детей, топчет котят и представляет опасность для пожилых, больных сердцом людей.
3	Заразные мозоли	1	3	20	50	100	0	1	В gorodname разразилась эпидемия мозолей - все вынуждены ходить в толстых шерстяных носках и в промышленных масштабах закупать пластыри.
4	Непруха	1	4	24	50	100	1	2	Невероятная непруха поразила жителей из gorodname - никто не может выиграть в лотерею, победить на спор или хотя бы встать утром с той ноги.
5	Сугроб	1	1	16	50	100	1	2	Огромный сугроб появился посередине gorodname. И это посередине лета! Десятки жителей уже пострадали, упав в этот сугроб.
6	Черепашки-убийцы	1	2	20	50	100	1	2	Беспощадные черепашки-убийцы наводнили gorodname и гоняются за его беспомощными жителями. Пока что всем удается сбежать, но кто знает, чем это закончится?
7	Насморк	1	3	24	50	100	2	3	Жители из gorodname поголовно слегли с сопливыми носами и не могут выговорить букву эм.
8	Бессоница	1	4	20	50	100	2	3	Ночные улицы gorodname переполнены уставшими и бесконечно зевающими жителями. Если это продолжится, у всех утром будут круги под глазами.
9	Болото	1	1	18	50	100	2	3	Главная площадь gorodname превратилась в болото. Любители митингов и парадов тонут, захлебываются, но продолжают протестовать.
10	Кровожадные куницы	1	2	20	50	100	3	4	В gorodname ворвались сотни кровожадных куниц, которые царапают и кусают его жителей. Если это продолжится, жертв не избежать!
11	Верблюжий грипп	1	3	24	50	100	3	4	Сотни жителей в gorodname слегли с новым штаммом опасной болезни - верблюжьим гриппом. У некоторых даже выросли горбы.
12	Близорукость	1	4	22	50	100	3	4	У жителей из gorodname стремительно ухудшается зрение, по этой причине уже произошло несколько столкновений карет. Лошади не пострадали.
13	Горизонтальный снегопад	1	1	16	50	100	4	5	Невиданное стихийное бедствие поразило gorodname - снег падает слева направо, иногда справа налево, а местами сзади наперед.
14	Ожившее тесто	1	2	18	50	100	4	5	В gorodname тесто ожило и начало нападать на жителей, пытаясь их сожрать. К счастью, пока что жители успевают сожрать тесто первыми, но если так продолжится, трагедии не избежать.
15	Склероз	1	3	20	50	100	4	5	Жители из gorodname забывают, как их зовут и где они живут. Потерявшиеся собираются в толпы и пытаются что-нибудь вспомнить. Без помощи им не спастись!
16	Пигментация	1	4	24	50	100	5	6	У многих жителей из gorodname случайным образом меняется цвет кожи. Если не вмешаться, конфликтов на расовой почве не избежать.
17	Контрастный дождь	2	1	22	100	200	5	6	В gorodname пришла беда - с неба льет то горячий, то ледяной дождь. Не всем жителям такая закалка идет на пользу - многие уже ошпарились или простудились.
18	Многоугольные бобры	2	2	20	100	200	5	6	На gorodname напали сотни кубических, циллиндрических и октаэдрических бобров. Они со стуком перекатываются по мостовой и колют граждан углами.
19	Бубновая чума	2	3	24	100	200	6	7	В gorodname разразилась эпидемия ужасающей болезни. Главный симптом - высыпающие по всему телу ромбики-бубны. Смертность составляет почти 100%, а если точнее - 9%.
20	Обжорство	2	4	20	100	200	6	7	gorodname поразило несчастье - его жители не могут перестать жрать. Они уже поглотили все запасы продуктов на год вперед и продолжают жиреть на глазах.
21	Сосули	2	1	18	100	200	6	7	Гигантские острые сосули падают на gorodname. Не каждая крыша спасет от сосуль - жители в панике.
22	Мегамедведь	2	2	22	100	200	7	8	Хтонический мегамедведь кромасет gorodname на куски, лютуя и рыча. От его свирепых когтей никто не может спастись. На помощь, кто-нибудь!
23	Рожа	2	3	24	100	200	7	8	Эпидемия рожи пришла в gorodname, опухшие красные жители молят о помощи.
24	Полиморфия	2	4	22	100	200	7	8	gorodname навлек на себя проклятье полиморфии - жители превращаются в курочек, уточек, петушков. Если никто не вмешается, gorodname превратится в курятник.
25	Антигравитация	2	1	18	100	200	8	9	Антигравитация отрывает жителей и дома от земли в городе gorodname. С каждым часом растет количество улетевших в небо бедняг.
26	Четвертый рейх	2	2	20	100	200	8	9	Зомби-нацисты стройными рядами штурмуют город gorodname. Каждый укушенный бледнеет, вскидывает правую руку и начинает маршировать во славу арийской расы. Без архимагии людей не спасти!
27	Черная смерть	3	3	24	2000	2000	8	9	gorodname опустошает самая страшная в мире чума - Черная Смерть. Бедствие убивает всех, не жалея ни взрослых, ни детей, ни женщин, ни котов. Если никто не остановит эпидемию - она заберет всех.
28	Злой рок	3	4	24	2000	2000	9	10	Сам бог смерти поднялся из Аида, чтобы проклясть gorodname. "Пройдут сутки, и каждый умрет", - промолвил он. Если никто не снимет проклятье, в городе не останется ни души.
29	Армагеддон	3	1	24	2000	2000	9	10	На gorodname летит гигантский раскаленный метеорит. Если огненную глыбу не остановить, она оставит после себя лишь обугленный кратор. Жители молят о помощи.
30	Пробуждение Ктулху	3	2	24	2000	2000	9	10	Древний бог поднимается со дна Р'льеха, который оказался как раз рядом с городом gorodname. Когда Ктулху проснется и откроет глаза, все жители потеряют свои души и станут его слугами.
